Match ID,Venue,Country
1282740,"Desert Springs Cricket Ground, Almeria",Spain
1282741,"Desert Springs Cricket Ground, Almeria",Spain
1283021,Gahanga International Cricket Stadium. Rwanda,Rwanda
1283022,Integrated Polytechnic Regional Centre,Rwanda
1283023,Gahanga International Cricket Stadium. Rwanda,Rwanda
1283024,Integrated Polytechnic Regional Centre,Rwanda
1282738,"Desert Springs Cricket Ground, Almeria",Spain
1282739,"Desert Springs Cricket Ground, Almeria",Spain
1280059,"ICC Academy, Dubai",United Arab Emirates
1280062,"ICC Academy, Dubai",United Arab Emirates
1280058,"ICC Academy, Dubai",United Arab Emirates
1279385,Happy Valley Ground,Cyprus
1279386,Happy Valley Ground,Cyprus
1280061,"ICC Academy, Dubai",United Arab Emirates
1280063,"ICC Academy, Dubai",United Arab Emirates
1279383,Happy Valley Ground,Cyprus
1280060,"ICC Academy, Dubai",United Arab Emirates
1279381,Happy Valley Ground,Cyprus
1279382,Happy Valley Ground,Cyprus
1279379,Happy Valley Ground,Cyprus
1279380,Happy Valley Ground,Cyprus
1280057,"ICC Academy, Dubai",United Arab Emirates
1273273,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland
1273272,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland
1275051,Entebbe Cricket Oval,Uganda
1275045,Entebbe Cricket Oval,Uganda
1273271,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland
1275047,Entebbe Cricket Oval,Uganda
1271632,"R Premadasa Stadium, Colombo",Sri Lanka
1275042,Entebbe Cricket Oval,Uganda
1275043,Entebbe Cricket Oval,Uganda
1271631,"R Premadasa Stadium, Colombo",Sri Lanka
1275039,Entebbe Cricket Oval,Uganda
1275040,Entebbe Cricket Oval,Uganda
1275053,"Desert Springs Cricket Ground, Almeria",Spain
1275054,"Desert Springs Cricket Ground, Almeria",Spain
1271630,"R Premadasa Stadium, Colombo",Sri Lanka
1272097,"Shere Bangla National Stadium, Mirpur",Bangladesh
1275044,Entebbe Cricket Oval,Uganda
1275052,"Desert Springs Cricket Ground, Almeria",Spain
1272096,"Shere Bangla National Stadium, Mirpur",Bangladesh
1272095,"Shere Bangla National Stadium, Mirpur",Bangladesh
1275276,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1275277,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1272377,"Bready Cricket Club, Magheramason, Bready",Ireland
1275274,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1275275,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1272094,"Shere Bangla National Stadium, Mirpur",Bangladesh
1275268,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1275271,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1275272,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1272376,"Bready Cricket Club, Magheramason, Bready",Ireland
1275269,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1275270,"Moara Vlasiei Cricket Ground, Ilfov County",Romania
1272093,"Shere Bangla National Stadium, Mirpur",Bangladesh
1272375,"Bready Cricket Club, Magheramason, Bready",Ireland
1272374,"Castle Avenue, Dublin",Ireland
1272373,"Castle Avenue, Dublin",Ireland
1273139,Gucherre Cricket Ground,Portugal
1273148,Kerava National Cricket Ground,Finland
1273149,Kerava National Cricket Ground,Finland
1273137,Gucherre Cricket Ground,Portugal
1273138,Gucherre Cricket Ground,Portugal
1273145,Gahanga International Cricket Stadium. Rwanda,Rwanda
1273146,Kerava National Cricket Ground,Finland
1273147,Kerava National Cricket Ground,Finland
1273136,Gucherre Cricket Ground,Portugal
1273143,Gahanga International Cricket Stadium. Rwanda,Rwanda
1273144,Gahanga International Cricket Stadium. Rwanda,Rwanda
1273141,Gahanga International Cricket Stadium. Rwanda,Rwanda
