version,2.1.0
info,balls_per_over,6
info,team,France
info,team,Germany
info,gender,male
info,season,2021
info,date,2021/08/06
info,event,Germany T20 Tri-Series
info,match_number,3
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Germany
info,toss_decision,field
info,player_of_match,H Singh
info,umpire,Rizwan Akram
info,umpire,Vinay Malhotra
info,reserve_umpire,M Jameson
info,winner,Germany
info,winner_wickets,2
info,method,D/L
info,players,France,U Shahid
info,players,France,S Santhirakumaran
info,players,France,Virk Ali
info,players,France,Usman Khan
info,players,France,Mustafa Omer
info,players,France,Noman Amjad
info,players,France,HA Jackson
info,players,France,Jubaid Ahamed
info,players,France,Mobashar Ashraf
info,players,France,Rahmatullah Mangal
info,players,France,Dawood Ahmadzai
info,players,Germany,VB Chikkannaiah
info,players,Germany,Abdul-Shakoor Rahimzei
info,players,Germany,Talha Khan
info,players,Germany,DA Blignaut
info,players,Germany,H Singh
info,players,Germany,V Ganesan
info,players,Germany,Sahir Naqash
info,players,Germany,H Srinivasan
info,players,Germany,Nooruddin Mujadady
info,players,Germany,Ghulam Ahmadi
info,players,Germany,Israr Khan
info,registry,people,Abdul-Shakoor Rahimzei,e45810ed
info,registry,people,DA Blignaut,cfcf189f
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Singh,8209da53
info,registry,people,H Srinivasan,300bdcbb
info,registry,people,HA Jackson,ee40679e
info,registry,people,Israr Khan,4ee5ded2
info,registry,people,Jubaid Ahamed,ea5e0599
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Mobashar Ashraf,bbfdb0c8
info,registry,people,Mustafa Omer,3bd52be1
info,registry,people,Noman Amjad,c079c66a
info,registry,people,Nooruddin Mujadady,fcd92ab0
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Santhirakumaran,67721a32
info,registry,people,Sahir Naqash,352e589f
info,registry,people,Talha Khan,8e5a1a7a
info,registry,people,U Shahid,2a853aa5
info,registry,people,Usman Khan,e8a552ef
info,registry,people,V Ganesan,baa7dd37
info,registry,people,VB Chikkannaiah,8e81b773
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Virk Ali,f7f7bee0
