version,2.1.0
info,balls_per_over,6
info,team,Portugal
info,team,Gibraltar
info,gender,male
info,season,2021
info,date,2021/08/22
info,event,Portugal T20 Tri-Series
info,match_number,5
info,venue,Gucherre Cricket Ground
info,city,Albergaria
info,toss_winner,Gibraltar
info,toss_decision,field
info,player_of_match,Azhar Andani
info,winner,Portugal
info,winner_runs,110
info,players,Portugal,Mian Mehmood
info,players,Portugal,Azhar Andani
info,players,Portugal,Amir Zaib
info,players,Portugal,Najjam Shahzad
info,players,Portugal,ARA Chambers
info,players,Portugal,Imran Khan (4)
info,players,Portugal,Amandeep Singh
info,players,Portugal,M Stoman
info,players,Portugal,J Khan
info,players,Portugal,Sirajullah Khadim
info,players,Portugal,P Buccimazza
info,players,Gibraltar,K Nestor
info,players,Gibraltar,L Bruce
info,players,Gibraltar,CJ Delany
info,players,Gibraltar,JA Fitzgerald
info,players,Gibraltar,E Packard
info,players,Gibraltar,P Hatchman
info,players,Gibraltar,J Marples
info,players,Gibraltar,RJ Hatchman
info,players,Gibraltar,MD Garratt
info,players,Gibraltar,A Orfila
info,players,Gibraltar,R Cunningham
info,registry,people,A Orfila,7c6293d1
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Amandeep Singh,d0d32c30
info,registry,people,Amir Zaib,973006cc
info,registry,people,Azhar Andani,b5bd99da
info,registry,people,CJ Delany,3bc56bd6
info,registry,people,E Packard,03b9ec54
info,registry,people,Imran Khan,a0a32dd1
info,registry,people,J Marples,9d75aec7
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,Junaid Khan,be0077ba
info,registry,people,K Nestor,b89cde87
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Stoman,27aec396
info,registry,people,MD Garratt,aa4154ad
info,registry,people,Mian Mehmood,4a4991c1
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,P Buccimazza,ddc7e056
info,registry,people,P Hatchman,b504e8b8
info,registry,people,R Cunningham,6779e840
info,registry,people,RJ Hatchman,01c05b6c
info,registry,people,Sirajullah Khadim,ff36e706
