version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Australia
info,gender,male
info,season,2021
info,date,2021/08/06
info,event,Australia tour of Bangladesh
info,match_number,3
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Mahmudullah
info,umpire,Gazi Sohel
info,umpire,Sharfuddoula
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,Masudur Rahman
info,match_referee,Neeyamur Rashid
info,winner,Bangladesh
info,winner_runs,10
info,players,Bangladesh,Mohammad Naim
info,players,Bangladesh,Soumya Sarkar
info,players,Bangladesh,Shakib Al Hasan
info,players,Bangladesh,Mahmudullah
info,players,Bangladesh,Afif Hossain
info,players,Bangladesh,Shamim Hossain
info,players,Bangladesh,Nurul Hasan
info,players,Bangladesh,Mahedi Hasan
info,players,Bangladesh,Mustafizur Rahman
info,players,Bangladesh,Shoriful Islam
info,players,Bangladesh,Nasum Ahmed
info,players,Australia,BR McDermott
info,players,Australia,MS Wade
info,players,Australia,MR Marsh
info,players,Australia,MC Henriques
info,players,Australia,AT Carey
info,players,Australia,DT Christian
info,players,Australia,AJ Turner
info,players,Australia,AC Agar
info,players,Australia,NT Ellis
info,players,Australia,A Zampa
info,players,Australia,JR Hazlewood
info,registry,people,A Zampa,14f96089
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AT Carey,69d03465
info,registry,people,Afif Hossain,37138918
info,registry,people,BR McDermott,c41043e6
info,registry,people,DT Christian,2a2e6343
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,MC Henriques,32198ae0
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Nurul Hasan,d365d463
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Tanvir Ahmed,ea2df1f1
