version,2.1.0
info,balls_per_over,6
info,team,Norway
info,team,France
info,gender,male
info,season,2021
info,date,2021/08/05
info,event,Germany T20 Tri-Series
info,match_number,2
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,France
info,toss_decision,field
info,player_of_match,S Santhirakumaran
info,umpire,J Flannery
info,umpire,Vinay Malhotra
info,reserve_umpire,Rizwan Akram
info,winner,France
info,winner_wickets,4
info,players,Norway,Raza Iqbal
info,players,Norway,E Ul Haq
info,players,Norway,D Abeyrathna
info,players,Norway,Bilal Safdar
info,players,Norway,Junaid Mehmood
info,players,Norway,Sher Sahak
info,players,Norway,S Waqas Ahmed
info,players,Norway,Wahidullah Sahak
info,players,Norway,Vinay Ravi
info,players,Norway,Hashir Hussain
info,players,Norway,P Bhart
info,players,France,U Shahid
info,players,France,S Santhirakumaran
info,players,France,Virk Ali
info,players,France,Usman Khan
info,players,France,Noman Amjad
info,players,France,Jubaid Ahamed
info,players,France,A Johnmary
info,players,France,HA Jackson
info,players,France,Mobashar Ashraf
info,players,France,Dawood Ahmadzai
info,players,France,Rahmatullah Mangal
info,registry,people,A Johnmary,e64c35df
info,registry,people,Bilal Safdar,1c4161b3
info,registry,people,D Abeyrathna,ee17d329
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Ul Haq,3559290a
info,registry,people,HA Jackson,ee40679e
info,registry,people,Hashir Hussain,3befa8e0
info,registry,people,J Flannery,22431c5a
info,registry,people,Jubaid Ahamed,ea5e0599
info,registry,people,Junaid Mehmood,3e46c4f3
info,registry,people,Mobashar Ashraf,bbfdb0c8
info,registry,people,Noman Amjad,c079c66a
info,registry,people,P Bhart,0daf3ffc
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Santhirakumaran,67721a32
info,registry,people,S Waqas Ahmed,fb27d38c
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,U Shahid,2a853aa5
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Vinay Ravi,9c181b99
info,registry,people,Virk Ali,f7f7bee0
info,registry,people,Wahidullah Sahak,6913e38e
