version,2.1.0
info,balls_per_over,6
info,team,Sweden
info,team,Finland
info,gender,male
info,season,2021
info,date,2021/08/21
info,event,Sweden tour of Finland
info,match_number,2
info,venue,Kerava National Cricket Ground
info,city,Kerava
info,toss_winner,Sweden
info,toss_decision,bat
info,winner,Finland
info,winner_wickets,4
info,players,Sweden,Rahel Khan
info,players,Sweden,W Boshoff
info,players,Sweden,A Venkatesh
info,players,Sweden,Imal Zuwak
info,players,Sweden,Dipanjan Dey
info,players,Sweden,Khalid Zahid
info,players,Sweden,Hassan Mehmood
info,players,Sweden,Qudratullah Mir Afzail
info,players,Sweden,L Karlsson
info,players,Sweden,Lemar Momand
info,players,Sweden,Baz Aybui
info,players,Finland,NG Collins
info,players,Finland,PF Gallagher
info,players,Finland,A Pusthay
info,players,Finland,AK Mohan
info,players,Finland,VS Padhaal
info,players,Finland,JOP Scamans
info,players,Finland,Amjad Sher
info,players,Finland,MB Tambe
info,players,Finland,H Dandapani
info,players,Finland,Naveed Shahid
info,players,Finland,Raaz Mohammad
info,registry,people,A Pusthay,0393fbdc
info,registry,people,A Venkatesh,06b45b20
info,registry,people,AK Mohan,d55474ac
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Baz Aybui,58a7f842
info,registry,people,Dipanjan Dey,fa180043
info,registry,people,H Dandapani,9960a421
info,registry,people,Hassan Mehmood,0331c99a
info,registry,people,Humayun Kabir,452024ef
info,registry,people,Imal Zuwak,1283e17b
info,registry,people,JOP Scamans,4e56e796
info,registry,people,Khalid Zahid,5c93efb1
info,registry,people,L Karlsson,90a41671
info,registry,people,Lemar Momand,249fe400
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,NG Collins,be3bdc15
info,registry,people,Naveed Shahid,9e51462f
info,registry,people,PF Gallagher,8e9d3dc4
info,registry,people,Qudratullah Mir Afzail,bd021695
info,registry,people,Raaz Mohammad,f83b77f9
info,registry,people,Rahel Khan,c443b748
info,registry,people,VS Padhaal,c4fb0b39
info,registry,people,W Boshoff,cad11a02
