,match_id,team1,team2
0,1001349,Australia,Sri Lanka
0,1001351,Australia,Sri Lanka
0,1001353,Australia,Sri Lanka
0,1004729,Hong Kong,Ireland
0,1007655,Zimbabwe,India
0,1007657,Zimbabwe,India
0,1007659,India,Zimbabwe
0,1019979,Bangladesh,New Zealand
0,1019981,New Zealand,Bangladesh
0,1019983,New Zealand,Bangladesh
0,1020029,South Africa,New Zealand
0,1031431,South Africa,England
0,1031433,South Africa,England
0,1031435,England,South Africa
0,1031665,West Indies,England
0,1034825,India,England
0,1034827,India,England
0,1034829,India,England
0,1040485,Ireland,Afghanistan
0,1040487,Afghanistan,Ireland
0,1040489,Afghanistan,Ireland
0,1041615,West Indies,India
0,1041617,West Indies,India
0,1050217,West Indies,Pakistan
0,1050219,Pakistan,West Indies
0,1050221,West Indies,Pakistan
0,1072206,Afghanistan,United Arab Emirates
0,1072207,United Arab Emirates,Afghanistan
0,1072208,Afghanistan,United Arab Emirates
0,1072316,New Zealand,Australia
0,1072317,England,Australia
0,1072318,England,Australia
0,1072319,New Zealand,England
0,1072320,New Zealand,Australia
0,1072321,England,New Zealand
0,1072322,New Zealand,Australia
0,1074957,Scotland,Hong Kong
0,1074958,Ireland,Afghanistan
0,1074959,Oman,Netherlands
0,1074961,Hong Kong,Oman
0,1074962,United Arab Emirates,Afghanistan
0,1074964,Scotland,Netherlands
0,1074965,Ireland,United Arab Emirates
0,1074966,Hong Kong,Netherlands
0,1074968,Oman,Scotland
0,1074969,Oman,Afghanistan
0,1074970,Ireland,Scotland
0,1074971,Ireland,Afghanistan
0,1075507,South Africa,Bangladesh
0,1075508,South Africa,Bangladesh
0,1077947,West Indies,Pakistan
0,1077948,Pakistan,West Indies
0,1083449,Bangladesh,Sri Lanka
0,1083450,Bangladesh,Sri Lanka
0,1085495,Pakistan,West Indies
0,1085496,West Indies,Pakistan
0,1089202,Papua New Guinea,United Arab Emirates
0,1089203,United Arab Emirates,Papua New Guinea
0,1089243,Papua New Guinea,United Arab Emirates
0,1089776,Afghanistan,West Indies
0,1089777,West Indies,Afghanistan
0,1089778,Afghanistan,West Indies
0,1098211,India,West Indies
0,1109610,Sri Lanka,India
0,1115798,New Zealand,West Indies
0,1115799,New Zealand,West Indies
0,1115800,New Zealand,West Indies
0,1115807,Pakistan,New Zealand
0,1115808,Pakistan,New Zealand
0,1115809,Pakistan,New Zealand
0,1117821,Pakistan,ICC World XI
0,1117822,Pakistan,ICC World XI
0,1117824,Pakistan,ICC World XI
0,1119501,Australia,India
0,1119502,India,Australia
0,1119542,England,Australia
0,1119543,England,India
0,1119544,India,England
0,1119545,England,India
0,1120093,India,New Zealand
0,1120094,New Zealand,India
0,1120095,India,New Zealand
0,1120291,Sri Lanka,Pakistan
0,1120292,Sri Lanka,Pakistan
0,1120293,Pakistan,Sri Lanka
0,1122285,India,South Africa
0,1122286,India,South Africa
0,1122287,India,South Africa
0,1122729,India,Sri Lanka
0,1122730,India,Sri Lanka
0,1122731,Sri Lanka,India
0,1127300,Pakistan,Scotland
0,1127301,Pakistan,Scotland
0,1130746,Bangladesh,Sri Lanka
0,1130747,Sri Lanka,Bangladesh
0,1133817,India,Sri Lanka
0,1133818,Bangladesh,India
0,1133819,Sri Lanka,Bangladesh
0,1133820,Sri Lanka,India
0,1133821,India,Bangladesh
0,1133822,Sri Lanka,Bangladesh
0,1133823,Bangladesh,India
0,1134031,Zimbabwe,Afghanistan
0,1134032,Afghanistan,Zimbabwe
0,1140069,Pakistan,West Indies
0,1140070,Pakistan,West Indies
0,1140071,West Indies,Pakistan
0,1140384,England,Sri Lanka
0,1140992,India,Ireland
0,1140993,India,Ireland
0,1141232,West Indies,ICC World XI
0,1141835,Netherlands,Nepal
0,1142501,Netherlands,Ireland
0,1142502,Ireland,Netherlands
0,1142503,Ireland,Scotland
0,1142504,Scotland,Ireland
0,1142505,Netherlands,Scotland
0,1142506,Scotland,Netherlands
0,1142589,South Africa,Sri Lanka
0,1142913,Pakistan,Zimbabwe
0,1142914,Pakistan,Australia
0,1142915,Australia,Zimbabwe
0,1142916,Zimbabwe,Pakistan
0,1142917,Pakistan,Australia
0,1142918,Zimbabwe,Australia
0,1142919,Australia,Pakistan
0,1144149,South Africa,Zimbabwe
0,1144150,Zimbabwe,South Africa
0,1144161,South Africa,Pakistan
0,1144162,South Africa,Pakistan
0,1144163,Pakistan,South Africa
0,1144172,Sri Lanka,South Africa
0,1144173,South Africa,Sri Lanka
0,1144174,South Africa,Sri Lanka
0,1144989,South Africa,Australia
0,1144990,Australia,India
0,1144991,Australia,India
0,1144992,Australia,India
0,1145983,Bangladesh,Afghanistan
0,1145984,Afghanistan,Bangladesh
0,1146723,Bangladesh,West Indies
0,1146724,Bangladesh,West Indies
0,1146725,Bangladesh,West Indies
0,1150143,Afghanistan,Ireland
0,1150144,Afghanistan,Ireland
0,1152840,Pakistan,England
0,1153317,Bangladesh,West Indies
0,1153318,Bangladesh,West Indies
0,1153319,West Indies,Bangladesh
0,1153696,New Zealand,India
0,1153697,New Zealand,India
0,1153698,New Zealand,India
0,1153843,New Zealand,Sri Lanka
0,1157372,Pakistan,Australia
0,1157373,Pakistan,Australia
0,1157374,Pakistan,Australia
0,1157375,Pakistan,New Zealand
0,1157376,New Zealand,Pakistan
0,1157377,Pakistan,New Zealand
0,1157759,West Indies,India
0,1157760,India,West Indies
0,1157761,West Indies,India
0,1158071,West Indies,England
0,1158072,England,West Indies
0,1158073,West Indies,England
0,1162727,United Arab Emirates,Australia
0,1168112,Ireland,Afghanistan
0,1168113,Afghanistan,Ireland
0,1168114,Afghanistan,Ireland
0,1168247,India,Australia
0,1168248,India,Australia
0,1168521,Zimbabwe,Ireland
0,1168522,Ireland,Zimbabwe
0,1170457,United Arab Emirates,Nepal
0,1170458,United Arab Emirates,Nepal
0,1170459,Nepal,United Arab Emirates
0,1172505,Scotland,Netherlands
0,1172506,Ireland,Oman
0,1172507,Oman,Netherlands
0,1172508,Ireland,Scotland
0,1172509,Netherlands,Ireland
0,1172510,Oman,Scotland
0,1176792,Papua New Guinea,Philippines
0,1176793,Vanuatu,Papua New Guinea
0,1176794,Vanuatu,Philippines
0,1176795,Papua New Guinea,Philippines
0,1176796,Philippines,Vanuatu
0,1176797,Vanuatu,Papua New Guinea
0,1177484,United States of America,United Arab Emirates
0,1177485,United Arab Emirates,United States of America
0,1178996,Germany,Italy
0,1183524,Australia,Sri Lanka
0,1183525,Sri Lanka,Australia
0,1183526,Sri Lanka,Australia
0,1183527,Pakistan,Australia
0,1183528,Pakistan,Australia
0,1183529,Pakistan,Australia
0,1184258,Ghana,Namibia
0,1184260,Uganda,Botswana
0,1184261,Kenya,Ghana
0,1184262,Namibia,Uganda
0,1184263,Nigeria,Botswana
0,1184266,Ghana,Uganda
0,1184900,Nigeria,Ghana
0,1184901,Botswana,Namibia
0,1184902,Kenya,Uganda
0,1185181,Guernsey,Germany
0,1185182,Denmark,Norway
0,1185184,Jersey,Denmark
0,1185185,Italy,Guernsey
0,1185186,Jersey,Norway
0,1185187,Denmark,Guernsey
0,1185188,Norway,Germany
0,1185190,Jersey,Germany
0,1185191,Norway,Guernsey
0,1185192,Jersey,Italy
0,1185193,Denmark,Germany
0,1185313,South Africa,England
0,1185314,England,South Africa
0,1185315,South Africa,England
0,1185316,Australia,South Africa
0,1185317,South Africa,Australia
0,1185318,Australia,South Africa
0,1186488,Thailand,Malaysia
0,1186490,Thailand,Maldives
0,1186491,Thailand,Malaysia
0,1186492,Malaysia,Maldives
0,1186493,Maldives,Thailand
0,1187005,South Africa,India
0,1187006,India,South Africa
0,1187013,India,Bangladesh
0,1187014,Bangladesh,India
0,1187015,India,Bangladesh
0,1187018,West Indies,India
0,1187019,India,West Indies
0,1187020,India,West Indies
0,1187665,New Zealand,England
0,1187666,New Zealand,England
0,1187667,New Zealand,England
0,1187668,England,New Zealand
0,1187669,New Zealand,England
0,1187677,New Zealand,India
0,1187678,New Zealand,India
0,1187679,India,New Zealand
0,1187680,India,New Zealand
0,1187681,India,New Zealand
0,1188379,Netherlands,Zimbabwe
0,1188380,Netherlands,Zimbabwe
0,1188621,West Indies,India
0,1188622,India,West Indies
0,1188623,West Indies,India
0,1189743,Guernsey,Denmark
0,1189744,Denmark,Italy
0,1190767,Singapore,Qatar
0,1190768,Malaysia,Kuwait
